Go.	Va !
Dogs are faithful.	Les chiens sont fidèles.
Don't be so angry.	Ne te mets pas en colère.
Don't be so silly.	Ne sois pas aussi bête.
Don't be so silly.	Ne soyez pas aussi bête.
Don't deceive him.	Ne le trompe pas.
Don't do it again.	Ne le refaites pas !
Don't do it again.	Ne le refais pas !
Don't even try it.	N'essaye même pas.
Don't fire anyone.	Ne virez personne !
Don't fire anyone.	Ne vire personne !
Don't forget that.	N'oublie pas ça.
Don't forget that.	N'oubliez pas ça.
Don't forget that.	N'oublie pas cela.
Don't forget that.	N'oubliez pas cela.
Don't get excited.	Garde la tête froide.
Don't go in there.	Ne rentre pas là-dedans.
Don't go in there.	Ne rentrez pas là-dedans.
Don't hurt anyone.	Ne fais de mal à personne !
Don't hurt anyone.	Ne faites de mal à personne !
Don't laugh at me.	Ne te ris pas de moi.
Don't let me down.	Ne me laissez pas tomber.
Don't let me down.	Ne me laisse pas tomber.
Don't look at him!	Ne le regarde pas !
Don't look at him!	Ne le regardez pas !
Don't look for us.	Ne nous cherche pas !
Don't look for us.	Ne nous cherchez pas !
Don't look so sad.	N'ayez pas l'air si triste !
Don't look so sad.	N'aie pas l'air si triste !
Don't make a fuss.	N'en faites pas toute une histoire.
Don't make me beg.	Ne m'oblige pas à supplier.
Don't rely on him.	Ne te repose pas sur lui.
Don't rely on him.	Ne te fie pas à lui !
Don't repeat that.	Ne répète pas ça !
Don't repeat that.	Ne réïtère pas ça !
Don't repeat that.	Ne répétez pas ça !
Don't repeat that.	Ne réïtérez pas ça !
Don't run so fast.	Ne cours pas si vite.
Don't screw it up!	Ne le fous pas en l'air !
Don't screw it up!	Ne le foire pas !
Don't screw it up!	Ne le foirez pas !
Don't talk to Tom.	Ne parle pas à Tom.
Don't talk to Tom.	Ne parlez pas à Tom.
Don't tell anyone.	Ne le dis à personne !
Don't tell anyone.	Ne le dites à personne !
Don't tell anyone.	Ne le dis à qui que ce soit !
Don't tell anyone.	Ne le dites à qui que ce soit !
Don't tell anyone.	Ne le dis à quiconque !
Don't tell anyone.	Ne le dites à quiconque !
Don't threaten me.	Ne me menace pas.
Don't threaten me.	Ne me menacez pas.
Don't turn around.	Ne te retourne pas.
Don't turn around.	Ne vous retournez pas.
Don't wait for me.	Ne m'attendez pas.
Don't wake her up.	Ne la réveille pas.
Don't you go away.	Ne partez pas.
Don't you like us?	Ne nous apprécies-tu pas ?
Don't you like us?	Ne nous appréciez-vous pas ?
Drop your weapons!	Laisse tomber tes armes !
Drop your weapons!	Laisse tomber les armes !
Drop your weapons!	Laissez tomber les armes !
Drop your weapons!	Laissez tomber vos armes !
Earth is a planet.	La Terre est une planète.
Even my mom knows.	Même ma mère le sait.
Every bus is full.	Tous les bus sont pleins.
Everybody cheered.	Tout le monde a applaudi.
Everybody cheered.	Tout le monde applaudit.
Everybody is fine.	Tout le monde va bien.
Everybody is sore.	Tout le monde est vexé.
Everybody is sore.	Tout le monde est agacé.
Everybody's happy.	Tout le monde est content.
Everybody's happy.	Tout le monde est heureux.
Everybody's tired.	Tout le monde est fatigué.
Everyone got sick.	Tout le monde se mit à être malade.
Everyone is angry.	Tout le monde est en colère.
Everyone is drunk.	Tout le monde est saoul.
Everyone is going.	Tout le monde y va.
Everyone is going.	Tout le monde s'en va.
Everyone is happy.	Tout le monde est heureux.
Everyone is happy.	Tout le monde est satisfait.
Everyone is tired.	Tout le monde est fatigué.
Everyone knows me.	Tout le monde me connait.
Everyone sat down.	Tout le monde s'assit.
Everyone sat down.	Tout le monde s'est assis.
Everyone screamed.	Tout le monde cria.
Everyone screamed.	Tout le monde a crié.
Everyone was hurt.	Tout le monde a été blessé.
Everyone was hurt.	Tout le monde fut blessé.
Everyone's asleep.	Tout le monde dort.
Everyone's asleep.	Tout le monde est endormi.
Everyone's eating.	Tout le monde est en train de manger.
Everything is bad.	Tout est mauvais.
Everything is new.	Tout est nouveau.
Everything is new.	Tout est neuf.
Everything is set.	Tout est prêt.
Everything is set.	Tout est en place.
Everything's fine.	Tout va bien.
Exercise outdoors.	Fais de l'exercice à l'extérieur.
Exercise outdoors.	Faites de l'exercice à l'extérieur.
Fill in this form.	Remplissez ce formulaire.
Finish your drink.	Finis ton verre !
Finish your drink.	Finissez votre verre !
Fire is dangerous.	Le feu est dangereux.
Fry an egg for me.	Cuis-moi un œuf.
Get into your car.	File dans ta voiture !
Get into your car.	Filez dans votre voiture !
Get into your car.	Grimpe dans ta voiture !
Get into your car.	Grimpez dans votre voiture !
Get me some water.	Va me chercher de l'eau !
Get me some water.	Allez me chercher de l'eau !
Get on your knees.	Mets-toi à genoux.
Get on your knees.	Mettez-vous à genoux.
Get on your knees.	À genoux !
Get on your knees.	Mets-toi à genoux !
Get on your knees.	Mettez-vous à genoux !
Get on your knees.	Agenouille-toi !
Get on your knees.	Agenouillez-vous !
Get out of my bed.	Dégage de mon lit !
Get out of my bed.	Dégagez de mon lit !
Get out of my bed.	Sors de mon lit !
Get out of my bed.	Sortez de mon lit !
Get out of my car.	Sors de ma voiture !
Get out of my car.	Sortez de ma voiture !
Get out of my way.	Écarte-toi de mon chemin.
Get ready for bed.	Préparez-vous à aller au lit !
Get ready for bed.	Prépare-toi à aller au lit !
Get ready quickly.	Prépare-toi vite.
Get up out of bed.	Sors du lit !
Get up out of bed.	Sortez du lit !
Get up, everybody.	Debout, tout le monde !
Give me an orange.	Donnez-moi une orange.
Give me five days.	Donnez-moi cinq jours.
Give me five days.	Donne-moi cinq jours.
Give me some milk.	Donne-moi un peu de lait.
Give me the money.	Aboule le fric !
Give me your belt.	Donne-moi ta ceinture.
Give me your hand.	Donne-moi la main.
Give me your keys.	Donne-moi tes clés !
Give me your keys.	Donnez-moi vos clés !
Go ahead and talk.	Vas-y et parle.
Go ahead and talk.	Poursuis et parle.
Go away right now!	Partez tout de suite !
Go away. I'm busy.	Partez. Je suis occupé.
Go away. I'm busy.	Allez-vous en. Je suis occupée.
Go get some water.	Va chercher de l'eau !
Go get some water.	Allez chercher de l'eau !
Go straight ahead.	Va tout droit.
God bless America.	Que Dieu bénisse les États-Unis d'Amérique !
Goodnight, Mother.	Bonne nuit, Mère !
Grab hold of this.	Saisis ceci !
Grab hold of this.	Saisissez ceci !
Has Tom eaten yet?	Tom a-t-il déjà mangé ?
Has Tom eaten yet?	Est-ce que Tom a déjà mangé ?
Has the bell rung?	La cloche a-t-elle sonné ?
Haste makes waste.	La vitesse crée de la perte.
Haste makes waste.	Hâte-toi lentement.
Have a drink, Tom.	Bois un coup, Tom.
Have you finished?	As-tu fini ?
Have you finished?	As-tu fini ?
Have you finished?	Avez-vous fini ?
Have you tried it?	Avez-vous essayé ?
Have you tried it?	As-tu essayé ?
Hay is for horses.	Le foin, c'est pour les chevaux.
Hay is for horses.	Le foin est pour les chevaux.
He appeared young.	Il paraissait jeune.
He appeared young.	Il avait l'air jeune.
He arrived safely.	Il est arrivé sans encombre.
He asked for food.	Il a réclamé de la nourriture.
He asked for help.	Il a demandé de l'aide.
He became furious.	Il est devenu furieux.
He began to sweat.	Il s'est mis à transpirer.
He began to sweat.	Il se mit à transpirer.
He blackmailed me.	Il m'a fait chanter.
He blocked my way.	Il m'a barré le chemin.
He broke his word.	Il n'a pas tenu sa parole.
He broke his word.	Il a rompu sa parole.
He broke my heart.	Il m'a brisé le cœur.
He called my name.	Il appela mon nom.
He came back soon.	Il est revenu peu après.
He came in person.	Il est venu en personne.
He came to see me.	Il est venu pour me voir.
He can't be young.	Il ne doit pas être jeune.
He can't help you.	Il ne peut pas t'aider.
He can't help you.	Il ne peut pas vous aider.
He carried a cane.	Il portait une canne.
He chewed his gum.	Il mâcha sa gomme.
He cried with joy.	Il pleura de joie.
He deals in grain.	Il est marchand de grains.
He did a good job.	Il a fait du bon boulot.
He did a good job.	Il fit du bon boulot.
He did it himself.	Il l'a fait tout seul.
He did not listen.	Il n'écouta pas.
He did not listen.	Il n'a pas écouté.
He didn't protest.	Il ne protesta pas.
He didn't protest.	Il n'a pas protesté.
He didn't show up.	Il ne s'est pas montré.
He died of cancer.	Il est mort d'un cancer.
He died yesterday.	Il est décédé hier.
He died yesterday.	Il a clamecé hier.
He died yesterday.	Il est canné hier.
He died yesterday.	Il a crevé hier.
He does not smoke.	Il ne fume pas.
He doesn't listen.	Il n'écoute pas.
He drank a little.	Il a un peu bu.
He drives a truck.	Il conduit une camionnette.
He drives roughly.	Il conduit brutalement.
He dropped a vase.	Il a fait tomber un vase.
He earns a living.	Il gagne de quoi vivre.
He employs a maid.	Il emploie une femme de ménage.
He employs a maid.	Il emploie une servante.
He exhaled loudly.	Il expira bruyamment.
He fills the bill.	Il paie l'addition.
He gave her a box.	Il lui a donné une boîte.
He gave me a cold.	Il m'a transmis un rhume.
He gave me a hint.	Il me donna un indice.
He glanced at her.	Il jeta un coup d'oeil sur elle.
He goes to school.	Il va a l'école.
He got me a watch.	Il m'a acheté une montre.
He got very drunk.	Il s'enivra beaucoup.
He got very drunk.	Il s'est beaucoup enivré.
He got well again.	Il se remit.
He grabbed my arm.	Il saisit mon bras.
He grabbed my arm.	Il a saisi mon bras.
He had a new idea.	Il eut une nouvelle idée.
He had no coat on.	Il n'avait aucun manteau sur lui.
He had no coat on.	Il ne portait pas de manteau.
He hanged himself.	Il s'est pendu.
He has a few pens.	Il a quelques stylos.
He has a headache.	Il a mal à la tête.
He has a headache.	Il souffre de maux de tête.
He has a headache.	Il a mal au crâne.
He has a headache.	Il a un mal de tête.
He has a huge ego.	Il a un ego sur-dimensionné.
He has blond hair.	Il a les cheveux blonds.
He has brown eyes.	Il a les yeux marron.
He has curly hair.	Il a les cheveux frisés.
He has curly hair.	Il a les cheveux bouclés.
He has no bicycle.	Il n'a pas de bicyclette.
He has no remorse.	Il n'a aucun remord.
He has short hair.	Il a les cheveux courts.
He has small feet.	Il a de petits pieds.
He has three sons.	Il a trois fils.
He hates his life.	Il déteste sa vie.
He hates shopping.	Il déteste faire des courses.
He hates shopping.	Il déteste faire les courses.
He helped me move.	Il m'a aidé à déménager.
He himself did it.	Il l'a fait par lui-même.
He is a big eater.	C'est un gros mangeur.
He is a biologist.	Il est biologiste.
He is a born poet.	C'est un poète né.
He is a brave man.	C'est un brave homme.
He is a daredevil.	C'est un casse-cou.
He is a detective.	Il est détective.
He is a dramatist.	Il est dramaturge.
He is a gentleman.	C'est un gentleman.
He is a gentleman.	C'est un monsieur.
He is a physicist.	C'est un physicien.
He is a physicist.	Il est physicien.
He is a quiet man.	C'est un homme taiseux.
He is a scientist.	C'est un scientifique.
He is a scientist.	Il est scientifique.
He is about forty.	Il doit avoir la quarantaine.
He is an American.	Il est Américain.
He is an evil man.	C'est un méchant homme.
He is at his desk.	Il est à son bureau.
He is beyond help.	Il n'y a rien à en tirer.
He is beyond hope.	C'est un cas sans espoir.
He is getting old.	Il se fait vieux.
He is in business.	Il est dans les affaires.
He is incompetent.	Il est incompétent.
He is influential.	Il est influent.
He is intelligent.	Il est intelligent.
He is introverted.	Il est introverti.
He is just my age.	Il a le même âge que moi.
He is not married.	Il n'est pas marié.
He is not so tall.	Il n'est pas si grand.
He is on the team.	Il fait partie de l'équipe.
He is quite right.	Il a plutôt raison.
He is running now.	Maintenant, il court.
He is still alive.	Il est encore vivant.
He is still angry.	Il est encore fâché.
He is teaching me.	Il m'instruit.
He is unrealistic.	Il est irréaliste.
He is very honest.	Il est très honnête.
He is walking now.	Il est actuellement en train de marcher.
He is watching TV.	Il regarde la TV.
He is watching TV.	Il regarde la télévision.
He isn't here now.	Il n'est pas là en ce moment.
He isn't here now.	Il n'est pas là actuellement.
He just texted me.	Il vient de me faire parvenir un texto.
He just texted me.	Il vient de m'envoyer un texto.
He keeps his word.	Il tient parole.
He keeps two cats.	Il a deux chats.
He kept it secret.	Il l'a gardé secret.
He kept on crying.	Il ne cessa de pleurer.
He kept on crying.	Il n'a pas cessé de pleurer.
He killed himself.	Il s'est suicidé.
He knows too much.	Il en sait trop.
He lay on the bed.	Il était étendu sur le lit.
He left the house.	Il a quitté la maison.
He likes my jokes.	Il apprécie mes blagues.
He likes my jokes.	Il apprécie mes plaisanteries.
He likes sleeping.	Il aime dormir.
He likes sleeping.	Il apprécie de dormir.
He lives close by.	Il n'habite pas loin.
He lives frugally.	Il vit de manière frugale.
He lives frugally.	Il vit chichement.
He lives in Kyoto.	Il habite à Kyôto.
He lives in Osaka.	Il habite à Osaka.
He lives in Tokyo.	Il habite à Tokyo.
He looks after us.	Il s'occupe de nous.
He looks confused.	Il a l'air paumé.
He looks confused.	Il a l'air désorienté.
He looks confused.	Il a l'air perplexe.
He looks familiar.	Il me semble le connaître.
He lost his honor.	Il a perdu son honneur.
He loves to party.	Il adore faire la fête.
He loves to party.	Il adore faire la nouba.
He loves to party.	Il adore faire la java.
He made a mistake.	Il a commis une erreur.
He made me a cake.	Il me confectionna un gâteau.
He made me a cake.	Il m'a confectionné un gâteau.
He made me a suit.	Il m'a confectionné un costume.
He may come today.	Il viendra peut-être aujourd'hui.
He moved to Tokyo.	Il a déménagé à Tokyo.
He must find work.	Il lui faut trouver du travail.
He must find work.	Il doit trouver du travail.
He needed to rest.	Il avait besoin de se reposer.
He never asked me.	Il ne me l'a jamais demandé.
He owns this land.	Cette terre lui appartient.
He raised his arm.	Il leva la main.
He raised his arm.	Il leva le bras.
He raised his hat.	Il a levé son chapeau.
He ran five miles.	Il courut cinq miles.
He refused to pay.	Il refusa de payer.
He refused to pay.	Il se refusa à payer.
He refused to pay.	Il s'est refusé à payer.
He refused to pay.	Il a refusé de payer.
He requested help.	Il demanda de l'aide.
He requested help.	Il requis de l'aide.
He ruined my life.	Il a ruiné ma vie.
He runs very fast.	Il court fort vite.
He sat on the bed.	Il s'assit sur le lit.
He saved a sailor.	Il a sauvé un marin.
He saw everything.	Il a tout vu.
He saw everything.	Il vit tout.
He shook his head.	Il a secoué la tête.
He skipped a year.	Il sauta une classe.
He speaks Chinese.	Il parle chinois.
He speaks Chinese.	Il parle le chinois.
He speaks English.	Il parle anglais.
He speaks Russian.	Il parle russe.
He speaks Russian.	Il parle le russe.
He speaks quickly.	Il parle vite.
He started to cry.	Il s'est mis à pleurer.
He started to cry.	Il se mit à pleurer.
He stayed up late.	Il est resté debout tard.
He stole my heart.	Il a dérobé mon cœur.
He struck a match.	Il frotta une allumette.
He takes vitamins.	Il prend des vitamines.
He teaches Arabic.	Il enseigne l'arabe.
He threw the ball.	Il lança la balle.
He told the truth.	Il dit la vérité.
He told the truth.	Il disait la vérité.
He took a day off.	Il prit un jour de congé.
He turned the key.	Il tourna la clé.
He turned the key.	Il a tourné la clé.
He twisted my arm.	Il m'a tordu le bras.
He wakes up early.	Il se lève tôt.
He walked quietly.	Il marchait tranquillement.
He wants an apple.	Il veut une pomme.
He wants to speak.	Il veut parler.
He was a bit late.	Il était un peu en retard.
He was a tall man.	C'était un homme de grande taille.
He was imprisoned.	Il fut emprisonné.
He was imprisoned.	Il a été emprisonné.
He was raging mad.	Il était fou de rage.
He was tired then.	Il était fatigué à ce moment-là.
He was very happy.	Il fut très heureux.
He was wide awake.	Il était tout à fait éveillé.
He went back home.	Il rentra chez lui.
He went back home.	Il est revenu à la maison.
He went ballistic.	Il a piqué une crise.
He will be missed.	Il manquera.
He will come back.	Il reviendra.
He will come soon.	Il viendra bientôt.
He will excuse me.	Il m'excusera.
He wore old shoes.	Il portait de vieilles chaussures.
He wore red pants.	Il portait un pantalon rouge.
He works at night.	Il travaille de nuit.
He works at night.	Il travaille la nuit.
He works under me.	Il travaille sous mes ordres.
He writes scripts.	Il écrit des scénarios.
He wrote a letter.	Il a écrit une lettre.
He'll get over it.	Il s'en remettra.
He's a big coward.	C'est un grand lâche.
He's a journalist.	Il est journaliste.
He's a movie buff.	C'est un mordu de cinéma.
He's already left.	Il est déjà parti.
He's already left.	Il s'en est déjà allé.
He's an old timer.	C'est un vieux de la vieille.
He's an undergrad.	C'est un étudiant de premier cycle.
He's deep in debt.	Il est endetté jusqu'au cou.
He's from Georgia.	Il est originaire de Géorgie.
He's in hot water.	Il est dans le pétrin.
He's in hot water.	Il est dans la mouise.
He's just arrived.	Il vient d'arriver.
He's kind of cute.	Il est assez mignon.
He's kind of cute.	Il est mignon, dans son genre.
He's looking good.	Il a l'air bien.
He's not here yet.	Il n'est pas encore là.
He's old and ugly.	Il est vieux et laid.
He's raking it in.	Il s'en met plein les poches.
He's raking it in.	Il s'en fourre plein les fouilles.
He's raking it in.	Il ramasse l'argent à la pelle.
He's raking it in.	Il prend plein d'oseille.
He's raking it in.	Il gagne plein de thune.
He's really quick.	Il est vraiment rapide.
He's sound asleep.	Il dort profondément.
He's still single.	Il est toujours célibataire.
He's still single.	Il est encore célibataire.
He's swimming now.	Il est en train de nager.
He's tickled pink.	Il est aux anges.
He's too trusting.	Il est trop confiant.
Her eyes are blue.	Ses yeux sont bleus.
Her eyes darkened.	Ses yeux s'assombrirent.
Her nails are red.	Ses ongles sont rouges.
Here is your book.	Voici ton livre.
Here we are again.	Nous voici donc de nouveau au même point.
Here's my receipt.	Voici mon reçu.
Here's some water.	Voici un peu d'eau.
Here's the change.	Voici la monnaie.
Here's your drink.	Voici ton verre !
Here's your drink.	Voici votre verre !
Hey, this is nice.	Eh, c'est sympa.
His car is a Ford.	Sa voiture est une Ford.
His eyes are blue.	Ses yeux sont bleus.
His room's a mess.	Sa chambre est un bordel.
His story is true.	Son histoire est vraie.
Hold that thought.	Garde ça en tête.
Honey, I love you.	Trésor, je t'aime !
How about a drink?	Que diriez-vous d'un verre ?
How about a drink?	Que dirais-tu d'un verre ?
How about a smoke?	Que dites-vous d'aller en griller une ?
How about a snack?	Que dites-vous d'un en-cas ?
How about a snack?	Que dis-tu d'un en-cas ?
How about running?	Que penseriez-vous de courir ?
How about running?	Que penses-tu de courir ?
How about running?	Et si nous courions ?
How about running?	Et si tu courais ?
How about running?	Et si je courais ?
How about running?	Et s'ils couraient ?
How about running?	Et si elles couraient ?
How about running?	Et si vous couriez ?
How about running?	Et s'il courait ?
How about running?	Et si elle courait ?
How about running?	Si on allait courir ?
How about tonight?	Que dis-tu de ce soir ?
How about tonight?	Que dis-tu de cette nuit ?
How about tonight?	Que dites-vous de ce soir ?
How about tonight?	Que dites-vous de cette nuit ?
How are you doing?	Comment vas-tu ?
How are you today?	Comment vas-tu aujourd'hui ?
How are you today?	Comment vous portez-vous, aujourd'hui ?
How could this be?	Comment cela pourrait-il être ?
How could this be?	Comment cela se pourrait-il ?
How did you do it?	Comment avez-vous fait ?
How do we do that?	Comment faisons-nous cela ?
How do we find it?	Comment le trouve-t-on ?
How do we find it?	Comment la trouve-t-on ?
How do we find it?	Comment est-ce qu'on le trouve ?
How do we find it?	Comment est-ce qu'on la trouve ?
How do we stop it?	Comment l'arrêtons-nous ?
How do we stop it?	Comment le stoppons-nous ?
How does he do it?	Comment fait-il ?
How does he do it?	Comment s'y prend-il ?
How far did it go?	Jusqu'où est-ce allé ?
How is it spelled?	Comment l'épelle-t-on ?
How long are they?	Quelle longueur font-ils ?
How long are they?	De quelle longueur sont-ils ?
How long are they?	Quelle longueur font-elles ?
How long are they?	De quelle longueur sont-elles ?
How lucky you are!	Quelle chance tu as !
How lucky you are!	Quelle chance vous avez !
How lucky you are!	Comme tu as de la chance !
How lucky you are!	Comme vous avez de la chance !
How old is he now?	Quel âge a-t-il maintenant ?
How should I know?	Comment le saurais-je ?
How was the beach?	Comment était la plage ?
How was your stay?	Comment s'est passé votre séjour ?
How was your test?	Comment s'est passé ton test ?
How was your trip?	Comment était ton voyage ?
How was your trip?	Comment fut votre voyage ?
How was your walk?	Comment était ta promenade ?
How'd it work out?	Comment est-ce que ça réussirait ?
How'd you find it?	Comment le trouverais-tu ?
How'd you find it?	Comment le trouveriez-vous ?
How's the weather?	Quel temps fait-il ?
How's the weather?	Comment est le temps ?
How's the weather?	Quel temps fait-il ?
How's your family?	Comment va votre famille ?
How's your family?	Comment va ta famille ?
How's your father?	Comment va ton père ?
How's your father?	Comment va votre père ?
How's your mother?	Comment va votre mère ?
How's your mother?	Comment va ta mère ?
How's your mother?	Comment va votre mère ?
I accept the risk.	J'en accepte le risque.
I admit I'm wrong.	J'admets que j'ai tort.
I agreed to do it.	J'ai accepté de le faire.
I agreed with Tom.	J'étais d'accord avec Tom.
I agreed with her.	Je fus d'accord avec elle.
I agreed with her.	J'ai été d'accord avec elle.
I almost shot you.	Je t'ai presque tiré dessus.
I almost shot you.	Je vous ai presque tiré dessus.
I already said no.	J'ai déjà dit non.
I also went there.	J'y suis également allé.
I also went there.	Je m'y suis également rendu.
I also went there.	J'y suis également allée.
I also went there.	Je m'y suis également rendue.
I am 18 years old.	J'ai dix-huit ans.
I am 19 years old.	J'ai 19 ans.
I am a bad person.	Je suis un être mauvais.
I am a cat person.	J'aime les chats.
I am a vegetarian.	Je suis végétarienne.
I am afraid to go.	J'ai peur d'y aller.
I am afraid to go.	J'ai peur de m'y rendre.
I am almost ready.	Je suis presque prêt.
I am almost ready.	Je suis presque prête.
I am almost ready.	Je suis quasiment prête.
I am baking bread.	Je cuis du pain.
I am baking bread.	Je suis en train de cuire du pain.
I am from England.	Je viens d'Angleterre.
I am going to bed.	Je vais au lit.
I am going to bed.	Je vais dormir.
I am good at math.	Je suis bon en maths.
I am in the house.	Je suis dans la maison.
I am in your debt.	Je suis votre débiteur.
I am in your debt.	Je suis votre débitrice.
I am not like you.	Je ne suis pas comme toi.
I am not like you.	Je ne suis pas comme vous.
I am rather happy.	Je suis assez content.
I am ready to die.	Je suis préparé à mourir.
I am ready to die.	Je suis prêt à mourir.
I am so exhausted!	Je suis si épuisé !
I am so exhausted!	Je suis si épuisée !
I am studying now.	Je suis en train d'étudier.
I am the same age.	J'ai le même âge.
I am the same age.	Je suis du même âge.
I am very curious.	Je suis très curieux.
I am very pleased.	Je suis très satisfait.
I am very pleased.	Je suis très content.
I appreciate that.	Je l'apprécie.
I appreciate this.	Je l'apprécie.
I ate my sandwich.	J'ai mangé mon sandwich.
I baited the hook.	J'ai mis un appât sur l'hameçon.
I barely know you.	Je te connais à peine.
I bathe every day.	Je me baigne quotidiennement.
I bathe every day.	Je me baigne tous les jours.
I beg you to stay.	Je te supplie de rester.
I beg you to stay.	Je vous supplie de rester.
I beg your pardon.	Je vous prie de m'excuser.
I beg your pardon.	Je te prie de m'excuser.
I beg your pardon?	Je vous demande pardon ?
I beg your pardon?	Je vous supplie de me pardonner.
I beg your pardon?	Plaît-il ?
I bet you're busy.	Je parie que vous êtes occupé.
I bet you're busy.	Je parie que vous êtes occupée.
I bet you're busy.	Je parie que vous êtes occupés.
I bet you're busy.	Je parie que vous êtes occupées.
I bet you're busy.	Je parie que tu es occupé.
I bet you're busy.	Je parie que tu es occupée.
I bid against him.	Je parie contre lui.
I bought a hybrid.	J'ai fait l'acquisition d'une hybride.
I bought that car.	J'ai acheté cette voiture.
I bought the book.	J'ai acheté le livre.
I bought the book.	J'achetai le livre.
I braked suddenly.	J'ai freiné soudainement.
I broke his heart.	Je lui ai brisé le cœur.
I brought cookies.	J'ai apporté des biscuits.
I brushed my hair.	Je me suis brossé les cheveux.
I brushed my hair.	Je me suis coiffé.
I brushed my hair.	Je me suis coiffée.
I called for help.	J'ai appelé à l'aide.
I called security.	J'ai appelé la sécurité.
I called the cops.	J'ai appelé les flics.
I came from China.	Je suis venu de la Chine.
I can comfort her.	Je peux la consoler.
I can drive a car.	Je peux conduire une voiture.
I can handle this.	Je sais y faire.
I can handle this.	Je sais m'y prendre.
I can handle this.	Je peux m'en charger.
I can handle this.	Je peux m'en occuper.
I can hardly swim.	Je sais à peine nager.
I can hardly walk.	Je peux difficilement marcher.
I can play Chopin.	Je peux jouer du Chopin.
I can play tennis.	Je sais jouer au tennis.
I can protect you.	Je peux te protéger.
I can protect you.	Je peux vous protéger.
I can't afford it.	Je n'en ai pas les moyens.
I can't blame him.	Je ne peux pas le blâmer.
I can't blame him.	Je ne peux pas lui faire de reproche.
I can't blame you.	Je ne peux pas te blâmer.
I can't blame you.	Je ne peux pas vous blâmer.
I can't blame you.	Je ne peux pas vous faire de reproche.
I can't blame you.	Je ne peux pas te faire de reproche.
I can't keep this.	Je ne peux pas garder ceci.
I can't leave now.	Je ne peux pas partir maintenant.
I can't place him.	Je n'arrive pas à le remettre.
I can't place him.	Je ne parviens pas à le remettre.
I can't read lips.	Je ne peux pas lire sur les lèvres.
I can't read this.	Je ne peux pas lire ceci.
I can't slow down.	Je ne peux pas ralentir.
I can't stand him.	Je ne peux pas le supporter.
I can't stand him.	Je n'arrive pas à le supporter.
I can't swim well.	Je ne sais pas bien nager.
I changed clothes.	J'ai changé de vêtements.
I changed my mind.	J'ai changé d'avis.
I checked my bags.	J'ai enregistré mes bagages.
I checked outside.	J'ai vérifié à l'extérieur.
I come from Japan.	Je viens du Japon.
I considered that.	Je l'ai pris en considération.
I considered that.	Je l'ai envisagé.
I could intervene.	Je pouvais intervenir.
I could intervene.	Je pourrais intervenir.
I could tutor you.	Je pourrais vous enseigner.
I could tutor you.	Je pourrais t'enseigner.
I couldn't get it.	Je n'ai pas capté.
I couldn't refuse.	Je ne pouvais refuser.
I deny everything.	Je nie tout.
I deserved better.	Je méritais mieux.
I did a bad thing.	J'ai fait quelque chose de mal.
I did a lot today.	J'ai beaucoup fait, aujourd'hui.
I did all I could.	Je fis tout ce que je pus.
I did all I could.	J'ai fait tout ce que j'ai pu.
I did it just now.	Je viens de le faire.
I did my homework.	J'ai fait mes devoirs.
I did my homework.	J'ai effectué mes devoirs.
I did this myself.	Je l'ai fait moi-même.
I did you a favor.	Je t'ai rendu service.
I did you a favor.	Je vous ai rendu service.
I did you a favor.	Je vous ai accordé une faveur.
I did you a favor.	Je t'ai accordé une faveur.
I didn't break it.	Je ne l'ai pas cassé.
I didn't break it.	Je ne l'ai pas rompu.
I didn't break it.	Je ne l'ai pas enfreint.
I didn't buy them.	Je ne les ai pas achetés.
I didn't buy them.	Je ne les ai pas achetées.
I didn't buy them.	Je n'en ai pas fait l'acquisition.
I didn't buy them.	Je n'ai pas procédé à leur acquisition.
I didn't clean it.	Je ne l'ai pas lavé.
I didn't feel bad.	Je ne me sentais pas mal.
I didn't graduate.	Je ne fus pas diplômé.
I didn't graduate.	Je ne fus pas diplômée.
I didn't graduate.	Je n'ai pas été diplômé.
I didn't graduate.	Je n'ai pas été diplômée.
I didn't hear you.	Je ne vous ai pas entendu.
I didn't kill Tom.	Je n'ai pas tué Tom.
I didn't kiss Tom.	Je n'ai pas embrassé Tom.
I didn't know Tom.	Je ne connaissais pas Tom.
I didn't know how.	J'ignorais comment.
I didn't register.	Je ne me suis pas inscrit.
I didn't say that.	Je n'ai pas dit cela.
I didn't say that.	Je n'ai pas dit ça.
I didn't see much.	Je n'ai pas vu grand chose.
I didn't steal it.	Je ne l'ai pas volé.
I didn't steal it.	Je ne l'ai pas dérobé.
I didn't touch it.	Je ne l'ai pas touché.
I do all the work.	Je fais tout le travail.
I do not feel sad.	Je ne me sens pas malheureux.
I do not feel sad.	Je ne suis pas triste.
I don't accept it.	Je ne l'accepte pas.
I don't blame you.	Je ne te le reproche pas.
I don't blame you.	Je ne vous le reproche pas.
I don't even vote.	Je ne vote même pas.
I don't feel sick.	Je ne me sens pas malade.
I don't feel well.	Je ne me sens pas bien.
I don't get opera.	Je ne pige pas l'opéra.
I don't have long.	Je ne dispose pas de beaucoup de temps.
I don't have that.	Je n'ai pas ça.
I don't have time.	Je n'ai pas le temps.
I don't know them.	Je ne les connais pas.
I don't like cops.	J'aime pas les flics.
I don't like dogs.	J’aime pas les chiens.
I don't like eggs.	Je n'aime pas les œufs.
I don't like kids.	Je n'aime pas les enfants.
I don't like sand.	Je n'aime pas le sable.
